date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:37	7006/7006	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b5e%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	E:/transport/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
10:11:37	7001/7001	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b59%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	E:/transport/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
10:11:38	6313/6313	---M--	200	added ('OK')	image/png	etag:%2257d97c08-18a9%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	E:/transport/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
10:11:38	4632/4632	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	E:/transport/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
10:11:39	4632/4632	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	E:/transport/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
10:11:39	7013/7013	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b65%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	E:/transport/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
10:11:39	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Mar%202019%2010:10:17%20GMT	https://colorlib.com/preview/theme/carrental/css/owl.video.play.png	E:/transport/colorlib.com/preview/theme/carrental/css/owl.video.play.png	(from https://colorlib.com/preview/theme/carrental/css/owl.carousel.css)
10:11:40	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225aab0304-2876e%22	https://colorlib.com/preview/theme/carrental/fonts/fontawesome-webfont.eot?	E:/transport/colorlib.com/preview/theme/carrental/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/preview/theme/carrental/css/font-awesome.min.css)
10:11:40	1661/1661	---M--	200	added ('OK')	image/png	etag:%225aab03ad-67d%22	https://colorlib.com/preview/theme/carrental/img/elements/primary-check.png	E:/transport/colorlib.com/preview/theme/carrental/img/elements/primary-check.png	(from https://colorlib.com/preview/theme/carrental/css/main.css)
10:11:40	1205/1205	---M--	200	added ('OK')	image/png	etag:%225aab03af-4b5%22	https://colorlib.com/preview/theme/carrental/img/elements/success-check.png	E:/transport/colorlib.com/preview/theme/carrental/img/elements/success-check.png	(from https://colorlib.com/preview/theme/carrental/css/main.css)
10:11:41	1249/1249	---M--	200	added ('OK')	image/png	etag:%225aab0397-4e1%22	https://colorlib.com/preview/theme/carrental/img/elements/disabled-check.png	E:/transport/colorlib.com/preview/theme/carrental/img/elements/disabled-check.png	(from https://colorlib.com/preview/theme/carrental/css/main.css)
